year,cost_category,value
2019,Capital & One Time Projects,5775000
2019,Estimated Operational Cost Increases,746500
2019,Estimated Personnel Increase,408500
2020,Capital & One Time Projects,1104000
2020,Estimated Operational Cost Increases,311000
2020,Estimated Personnel Increase,732500
2021,Capital & One Time Projects,486000
2021,Estimated Operational Cost Increases,366000
2021,Estimated Personnel Increase,639000
2022,Capital & One Time Projects,0
2022,Estimated Operational Cost Increases,327000
2022,Estimated Personnel Increase,0
